;t;H0;H1;H2;H3;H4;H5;H6;H7
4667;23335.0;0.0009924101830288048;-0.0;-0.0;0.0010283880090268703;0.0013194221005284777;0.005246808744458082;-0.0;-0.0
4668;23340.0;-0.0;1.0842021724855044e-19;-0.0;8.673617379884035e-19;-0.0;6.505213034913027e-19;-0.0;4.573977915173222e-20
4669;23345.0;-0.0;0.00034461402815197037;1.9132718907650754e-08;-0.0;-0.0;-0.0;-0.0;5.739634998615634e-05
4670;23350.0;-0.0;0.0007238816896015512;2.6357476402310837e-08;-0.0;-0.0;-0.0;-0.0;7.90707024291371e-05
4671;23355.0;-0.0;0.0010084285509299438;2.486542787142805e-08;-0.0;-0.0;-0.0;-0.0;7.459565049047721e-05
4672;23360.0;-0.0;0.0010688801787183484;1.7847728702450132e-08;-0.0;-0.0;-0.0;-0.0;5.354378733171125e-05
4673;23365.0;-0.0;0.0007758621395479671;8.495534282824858e-09;-0.0;-0.0;-0.0;-0.0;2.5487706114373954e-05
4674;23370.0;3.469446951953614e-18;4.336808689942018e-19;-0.0;-0.0;0.0;-0.0;1.3552527156068805e-20;1.0587911840678754e-20
4675;23375.0;0.00631416760790094;-0.0;-0.0;0.006338879699893205;0.006847799608881015;-0.0;3.060485400338643e-05;-0.0
4676;23380.0;0.014295511968116327;-0.0;-0.0;0.014341365540073661;0.015412524530144082;-0.0;6.522608205384258e-05;-0.0
4677;23385.0;0.022688602836482556;-0.0;-0.0;0.022743216400551762;0.02428717765243381;-0.0;9.16699474150502e-05;-0.0
4678;23390.0;0.030238009968835987;-0.0;-0.0;0.03028019116133789;0.03206476186439481;-0.0;9.774271335069107e-05;-0.0
4679;23395.0;0.035688303121013024;-0.0;-0.0;0.03568804870244247;0.037338280054671734;-0.0;7.125064312444709e-05;-0.0
4680;23400.0;0.03778405204885;1.734723475976807e-18;-0.0;0.03770254790387587;0.03870073511190913;-0.0;-0.0;-0.0
4681;23405.0;0.035688303252481623;0.004939339538550143;1.3566998094880691e-09;0.03548661655648199;0.0352731331588924;0.004882107453997058;-0.0;4.084580256346e-06
4682;23410.0;0.030238010209235694;0.011200182552611652;1.8567394821757217e-09;0.029911858094438717;0.028288493254969727;0.011256720598954505;-0.0;5.600785409728644e-06
4683;23415.0;0.02268860314073844;0.01781918644922677;1.735604177816853e-09;0.022277044862757497;0.019507837693630195;0.018068732730869407;-0.0;5.249522710466654e-06
4684;23420.0;0.014295512268615964;0.023833008635437726;1.228779056165349e-09;0.013880949206449698;0.010692188768362735;0.024263037145738794;-0.0;3.7316994088787414e-06
4685;23425.0;0.006314167814494435;0.028278306518286788;5.717492769751011e-10;0.006022343470526731;0.003602568772656338;0.028784527139559764;-0.0;1.7482227552836174e-06
4686;23430.0;-0.0;0.03019173750481616;-0.0;3.903127820947816e-18;1.734723475976807e-18;0.030578096008329322;2.168404344971009e-19;0.0
4687;23435.0;-0.0;0.028912940791903076;-0.0;-0.0;0.0011259727142802318;0.028936011167624637;0.0004442387506094739;-0.0
4688;23440.0;-0.0;0.024993482735764648;-0.0;-0.0;0.006143849060973615;0.02454003651134315;0.0009332360741171503;-0.0
4689;23445.0;-0.0;0.019287911482453034;-0.0;-0.0;0.01369745915595426;0.018419310052962407;0.0013001514156665357;-0.0
4690;23450.0;-0.0;0.012650775178020303;-0.0;-0.0;0.022430633115096278;0.011602969805959946;0.0013781442204011348;-0.0
4691;23455.0;-0.0;0.005936621968518594;-0.0;-0.0;0.030987201054273782;0.005120153783813297;0.0010003739334644552;-0.0
4692;23460.0;-0.0;1.734723475976807e-18;-0.0;-0.0;0.03801099308936087;-0.0;-0.0;4.235164736271502e-22
4693;23465.0;0.000992411328683688;-0.0;-0.0;-0.0;0.04242988332908562;-0.0;-0.0;-0.0
4694;23470.0;0.001367203019097225;-0.0;-0.0;-0.0;0.044307921853591975;-0.0;-0.0;-0.0
4695;23475.0;0.0012898664013381187;-0.0;-0.0;-0.0;0.04399320273587783;-0.0;-0.0;-0.0
4696;23480.0;0.0009258928055038749;-0.0;-0.0;-0.0;0.04183382004894109;-0.0;-0.0;-0.0
4697;23485.0;0.00044077356169199943;-0.0;-0.0;-0.0;0.038177867865779674;-0.0;-0.0;-0.0
4698;23490.0;-0.0;-0.0;1.4475660719677984e-24;0.0;0.03337344025939146;-0.0;0.0;-0.0
4699;23495.0;-0.0;0.006463351878053779;8.60130857938723e-10;0.006325621177442925;0.02776899167860221;0.0007013328366285865;0.0063642577712918254;1.8169940540074846e-06
4700;23500.0;-0.0;0.013930464015070178;1.8258985649841398e-09;0.014556404065726919;0.02171441807554913;0.0008893949907107461;0.014404239889686898;3.874096450942278e-06
4701;23505.0;-0.0;0.021406248478072633;2.560036226924614e-09;0.023337420994138817;0.015559975778197314;0.0007387396231677239;0.02284949302450609;5.446127717406654e-06
4702;23510.0;-0.0;0.027895617334084563;2.725276949548507e-09;0.031313744291965456;0.009655921114511806;0.00042391989492076307;0.03042956384507026;5.807908380002882e-06
4703;23515.0;-0.0;0.03240348265012945;1.9843538386441825e-09;0.037130446288493685;0.004352510412457679;0.0001194889668911069;0.03587399902070033;4.234258965333245e-06
4704;23520.0;5.082197683525802e-21;0.033934756493230654;-0.0;0.039432599313010304;-0.0;3.2526065174565133e-19;0.03791234522071711;6.776263578034403e-21
4705;23525.0;7.122621069303549e-05;0.03184208678979437;-0.0;0.037311738474950666;-0.0;0.00018009030149205468;0.035702532598631743;-0.0
4706;23530.0;9.810673926619522e-05;0.026869064903757577;-0.0;0.031645250004343935;-0.0;0.0005347337639053533;0.030116025244716276;-0.0
4707;23535.0;9.253298410147548e-05;0.02010701805844004;-0.0;0.02375698291136783;-0.0;0.0008789884261013461;0.022452670733433076;-0.0
4708;23540.0;6.639634358087227e-05;0.012647273477161441;-0.0;0.014970786206200019;-0.0;0.0010279123269414836;0.014012316639244416;-0.0
4709;23545.0;3.158821608638173e-05;0.005581158383241523;-0.0;0.00661050889901818;-0.0;0.0007965635052872187;0.006094810536612621;-0.0
4710;23550.0;1.5246593050577406e-20;7.589415207398531e-19;1.3234889800848443e-23;-0.0;-0.0;-0.0;2.8189256484623115e-18;-0.0
4711;23555.0;-0.0;-0.0;1.2346276569809705e-08;-0.0;0.004145476946503369;-0.0;-0.0;2.6406005220863178e-05
